code,name,name_ar,population
1,"undefined","undefined",1362539
2,"undefined","undefined",2309677
3,"undefined","undefined",1414783
4,"undefined","undefined",786283
5,"undefined","undefined",1004321
6,"undefined","undefined",1272577
7,"undefined","undefined",1232597
8,"undefined","undefined",869884
9,"undefined","undefined",534467
10,"undefined","undefined",872599
11,"undefined","undefined",1318161
12,"undefined","undefined",552493
13,"undefined","undefined",535616
14,"undefined","undefined",908831
15,"undefined","undefined",761405
16,"undefined","undefined",1969753
17,"undefined","undefined",1171093
18,"undefined","undefined",2015293
19,"undefined","undefined",739402
20,"undefined","undefined",930739
21,"undefined","undefined",679578
22,"undefined","undefined",1802025
23,"undefined","undefined",1207537
24,"undefined","undefined",1089536
25,"undefined","undefined",1960666
26,"undefined","undefined",601131
27,"undefined","undefined",1241570
28,"undefined","undefined",2006773
29,"undefined","undefined",2330309
30,"undefined","undefined",1838670
31,"undefined","undefined",2314131
32,"undefined","undefined",881566
33,"undefined","undefined",1206302
34,"undefined","undefined",1266349
35,"undefined","undefined",1401542
36,"undefined","undefined",1463496
37,"undefined","undefined",559127
38,"undefined","undefined",2057630
39,"undefined","undefined",2414752
40,"undefined","undefined",1561926
41,"undefined","undefined",586880
42,"undefined","undefined",2394196
43,"undefined","undefined",1342849
44,"undefined","undefined",970597
45,"undefined","undefined",645270
46,"undefined","undefined",1335308
47,"undefined","undefined",2241902
48,"undefined","undefined",2274022
49,"undefined","undefined",1827756
50,"undefined","undefined",696240
51,"undefined","undefined",1736989
52,"undefined","undefined",2070149
53,"undefined","undefined",1517121
54,"undefined","undefined",1975565
55,"undefined","undefined",1964350
56,"undefined","undefined",2240214
57,"undefined","undefined",1550124
58,"undefined","undefined",1089946
59,"undefined","undefined",1083821
60,"undefined","undefined",1431804
61,"undefined","undefined",2435217
62,"undefined","undefined",1277888
63,"undefined","undefined",1348708
64,"undefined","undefined",1244492
65,"undefined","undefined",557372
66,"undefined","undefined",1373260
67,"undefined","undefined",518178
68,"undefined","undefined",1847706
69,"undefined","undefined",1225764
